SelectionOrderAtt	ImId	correctVariant(s)	Slide_Num	Subject	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
0	7	incorrect	4	01-012-C	"2,-1,"	"1347.47,1351.23,"	-1
0	1	MasterImage	5	01-012-C	"3,1,"	"1359.67,1360.57,1369.87,1375.9,"	-1
0	2	incorrect	5	01-012-C	"1,-1,"	"1364.3,"	-1
0	3	incorrect	5	01-012-C	"4,-1,"	"1361.67,1362.27,1363.67,1371.17,"	-1
0	4	incorrect	5	01-012-C	"1,-1,"	"1365.37,"	-1
1	5	correct	5	01-012-C	"3,-1,"	"1368.7,1370.87,1372.6,"	15.6333
0	6	incorrect	5	01-012-C	"3,-1,"	"1367.07,1373.8,1374.07,"	-1
0	7	incorrect	5	01-012-C	"1,-1,"	"1366.07,"	-1
0	1	MasterImage	6	01-012-C	"20,1,"	"1376.23,1377,1378.1,1378.57,1378.93,1379.63,1380.07,1380.27,1381.77,1383.87,1385.57,1385.73,1389.13,1389.37,1391.63,1391.8,1394.17,1394.47,1396.3,1398.7,1402.43,"	-1
1	2	correct	6	01-012-C	"9,-1,"	"1382.4,1383.17,1384.37,1385.13,1386.27,1386.57,1388.67,1398.03,1399.67,"	25.4334
0	3	incorrect	6	01-012-C	"4,1,"	"1377.63,1379.3,1380.77,1381.33,1402.23,"	-1
0	4	incorrect	6	01-012-C	"6,-1,"	"1389.83,1390.53,1390.93,1391.17,1392.23,1393.07,"	-1
0	5	incorrect	6	01-012-C	"6,-1,"	"1386.8,1386.97,1387.27,1387.67,1398.23,1400.2,"	-1
0	6	incorrect	6	01-012-C	"6,-1,"	"1393.63,1393.8,1394.83,1395.53,1395.77,1397.13,"	-1
0	7	incorrect	6	01-012-C	"1,-1,"	"1390.23,"	-1
0	1	MasterImage	7	01-012-C	"11,1,"	"1402.67,1403.53,1404.23,1405.7,1405.87,1410.5,1414.43,1414.6,1417.23,1422.87,1423.63,1426.8,"	-1
0	2	incorrect	7	01-012-C	"2,-1,"	"1403.93,1405.23,"	-1
1	3	correct	7	01-012-C	"11,1,"	"1403.7,1406.37,1407.47,1409.6,1411.03,1415.07,1417.63,1418.57,1420.6,1422.2,1423.33,1426.57,"	23.3666
0	4	incorrect	7	01-012-C	"10,-1,"	"1412.2,1412.57,1415.7,1417.97,1418.37,1419.13,1419.5,1421.07,1421.4,1422.6,"	-1
0	5	incorrect	7	01-012-C	"2,-1,"	"1411.33,1424.37,"	-1
0	6	incorrect	7	01-012-C	"1,-1,"	"1411.73,"	-1
0	7	incorrect	7	01-012-C	"3,-1,"	"1407.87,1409.23,1410.13,"	-1
0	1	MasterImage	8	01-012-C	"7,-1,"	"1427.03,1427.37,1428.33,1436.4,1436.6,1439.87,1440.03,"	-1
0	2	incorrect	8	01-012-C	"3,-1,"	"1431.07,1431.53,1439.17,"	-1
0	3	incorrect	8	01-012-C	"4,-1,"	"1430.2,1432.37,1438.77,1441.67,"	-1
0	4	incorrect	8	01-012-C	"9,-1,"	"1433.27,1433.73,1435.17,1438.13,1438.33,1440.5,1440.67,1441,1442.63,"	-1
0	5	incorrect	8	01-012-C	"1,-1,"	"1437.67,"	-1
0	6	incorrect	8	01-012-C	"1,-1,"	"1437.3,"	-1
1	7	correct	8	01-012-C	"7,-1,"	"1436,1436.9,1442.43,1442.97,1443.2,1445.27,1446.2,"	28.5334
0	1	MasterImage	9	01-012-C	"21,1,"	"1457.2,1457.47,1458.5,1459.93,1461.7,1461.9,1463.2,1465.7,1468,1468.27,1468.67,1470.57,1474.8,1475.8,1479.2,1480.73,1481.3,1481.63,1482,1482.2,1482.43,1485.77,"	-1
0	2	incorrect	9	01-012-C	"5,-1,"	"1459.57,1472.2,1473.07,1473.7,1474,"	-1
0	3	incorrect	9	01-012-C	"5,-1,"	"1456.97,1458.17,1459.23,1462.6,1475.97,"	-1
0	4	incorrect	9	01-012-C	"5,-1,"	"1463.8,1464.03,1476.47,1477.27,1477.97,"	-1
1	5	correct	9	01-012-C	"9,-1,"	"1466.63,1467.33,1468.93,1469.3,1471.77,1475.13,1475.33,1479.9,1482.8,"	28.4666
0	6	incorrect	9	01-012-C	"3,-1,"	"1466.27,1483.2,1483.4,"	-1
0	7	incorrect	9	01-012-C	"2,-1,"	"1464.37,1465.13,"	-1
0	1	MasterImage	10	01-012-C	"19,-1,"	"1486.03,1486.2,1486.47,1488.77,1489.03,1489.6,1490.53,1491.3,1492.6,1492.8,1494.47,1497.8,1498.03,1500.03,1503.37,1506.17,1507.57,1513.77,1514.2,"	-1
